,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,84500.0,800.0,-0.94%,100.0,5044466.0,5969783.0,55.68,18773002.0,39.65,4.15,
2,2.0,SK하이닉스,182800.0,5200.0,-2.77%,5000.0,1330788.0,728002.0,54.78,4011173.0,-14.6,-15.61,
3,3.0,LG에너지솔루션,376000.0,3500.0,-0.92%,500.0,879840.0,234000.0,4.92,150598.0,71.12,6.36,
4,4.0,삼성바이오로직스,813000.0,4000.0,-0.49%,2500.0,578645.0,71174.0,12.0,39038.0,67.46,9.12,
5,5.0,삼성전자우,69000.0,300.0,-0.43%,100.0,567792.0,822887.0,75.51,1162348.0,32.38,,
9,6.0,현대차,225500.0,500.0,-0.22%,5000.0,477004.0,211532.0,38.17,1114867.0,5.17,13.68,
10,7.0,기아,105000.0,1700.0,-1.59%,5000.0,422146.0,402044.0,40.35,1773509.0,4.82,20.44,
11,8.0,셀트리온,177500.0,2100.0,-1.17%,1000.0,387038.0,218050.0,23.18,329546.0,48.78,5.07,
12,9.0,POSCO홀딩스,394500.0,7000.0,-1.74%,5000.0,333634.0,84571.0,27.22,419211.0,19.65,3.18,
13,10.0,NAVER,193100.0,1200.0,-0.62%,100.0,313611.0,162409.0,45.63,480272.0,31.25,4.41,
17,11.0,삼성SDI,420500.0,21500.0,-4.86%,5000.0,289155.0,68765.0,42.32,424776.0,14.73,11.48,
18,12.0,LG화학,400000.0,2500.0,-0.62%,5000.0,282369.0,70592.0,39.57,338345.0,23.41,4.2,
19,13.0,삼성물산,150800.0,900.0,-0.59%,100.0,279872.0,185592.0,24.73,232256.0,12.75,7.28,
20,14.0,KB금융,69100.0,400.0,-0.58%,5000.0,278826.0,403511.0,75.53,848373.0,6.04,8.44,
21,15.0,현대모비스,242500.0,1500.0,-0.61%,5000.0,227114.0,93655.0,40.16,128833.0,6.67,8.73,
25,16.0,신한지주,44100.0,450.0,-1.01%,5000.0,224642.0,509393.0,61.39,1378451.0,5.25,8.36,
26,17.0,카카오,48750.0,550.0,-1.12%,100.0,217012.0,445153.0,28.04,1552652.0,-21.42,-10.26,
27,18.0,포스코퓨처엠,267000.0,7500.0,-2.73%,500.0,206827.0,77463.0,9.11,207720.0,719.68,1.19,
28,19.0,삼성생명,91900.0,1500.0,-1.61%,500.0,183800.0,200000.0,19.55,233897.0,9.7,4.95,
29,20.0,하나금융지주,57800.0,500.0,-0.86%,5000.0,168982.0,292357.0,70.59,828601.0,4.98,9.01,
33,21.0,메리츠금융지주,82800.0,200.0,+0.24%,500.0,168392.0,203372.0,16.64,266049.0,7.9,28.11,
34,22.0,LG전자,95900.0,1600.0,+1.70%,5000.0,156938.0,163648.0,29.9,600579.0,24.33,3.69,
35,23.0,삼성화재,300000.0,2000.0,-0.66%,500.0,142125.0,47375.0,53.63,81412.0,8.34,12.73,
36,24.0,한국전력,21600.0,150.0,-0.69%,5000.0,138664.0,641964.0,15.22,960058.0,-2.88,-12.63,
37,25.0,한미반도체,135700.0,1600.0,-1.17%,100.0,132089.0,97339.0,15.16,3057617.0,49.44,55.54,
41,26.0,SK,175700.0,3500.0,-1.95%,200.0,128609.0,73198.0,24.8,81196.0,-16.74,-3.67,
42,27.0,LG,80100.0,2200.0,-2.67%,5000.0,125998.0,157301.0,35.47,462991.0,10.18,4.89,
43,28.0,카카오뱅크,25450.0,500.0,-1.93%,5000.0,121376.0,476921.0,16.81,657240.0,34.21,6.0,
44,29.0,크래프톤,249500.0,3500.0,-1.38%,100.0,120669.0,48364.0,34.93,39750.0,20.42,11.16,
45,30.0,삼성에스디에스,155500.0,1700.0,-1.08%,500.0,120322.0,77378.0,18.52,99459.0,17.35,8.22,
49,31.0,삼성전기,158900.0,3500.0,+2.25%,5000.0,118688.0,74694.0,31.6,987719.0,29.16,5.5,
50,32.0,KT&G,90800.0,100.0,+0.11%,5000.0,118333.0,130322.0,44.38,114169.0,13.73,9.76,
